연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치
1,1,서울(1),E/S,1,1800-448,B2(대)-B1(연결통로),4호선연결통로 상행
2,1,서울(1),E/S,2,1806-600,섬석 B1(연결통로)-B2(승),남영방향 하행 2-3
3,1,서울(1),E/S,3,1806-599,섬식 B2(승)-B1(연결통로),시청방향 상행 9-3
4,1,서울(1),E/S,4,1810-816,지상-B1(대),4번출구 하행
5,1,서울(1),E/S,5,1810-817,B1(대)-지상,4번출구 상행
6,1,시청(1),E/S,1,1808-119,지상(시청광장)-B1(대),5번출구 하행
7,1,시청(1),E/S,2,1808-120,B1(대)-지상(시청광장),5번출구 상행
8,1,시청(1),E/S,3,1809-239,B1(대)-지상(덕수궁),1번출구 상행
9,1,종각,E/S,1,1810-730,지상-B1(대),1번출구 상행
10,1,종각,E/S,2,1810-729,지상-B1(대),1번출구 상행
11,1,종로3가(1),E/S,1,1806-432,지상-B1(대),1번출구 하행
12,1,종로3가(1),E/S,2,1806-431,B1(대)-지상,1번출구 상행
13,1,종로3가(1),E/S,3,1806-597,지상-B1(대),14번출구 하행
14,1,종로3가(1),E/S,4,1806-598,B1(대)-지상,14번출구 상행
15,1,동대문(1),E/S,1,1809-225,B1(대)-지상,1번출구 상행
16,1,동묘앞,E/S,1,1800-055,B2-B3(6호선연결통로),청량리방향 하행 9-1
17,1,동묘앞,E/S,2,1800-056,B3(6호선연결통로)-B2,청량리방향 상행 9-1
18,1,동묘앞,E/S,3,1800-057,B1(승)-B2(연),청량리방향 하행 6-2
19,1,동묘앞,E/S,4,1800-060,B2(연)-B1(승),시청방향 상행 5-4
20,1,동묘앞,E/S,5,1800-061,B1(승)-B2(연),시청방향 하행 2-4
21,1,동묘앞,E/S,6,1800-062,B2(연)-B1(승),시청방향 상행 2-4
22,1,동묘앞,E/S,7,1800-054,지상-B1(대),1번출구 하행
23,1,동묘앞,E/S,8,1800-053,B1(대)-지상,1번출구 상행
24,1,동묘앞,E/S,9,1800-058,지상-B1(역무실),2번출구 하행
25,1,동묘앞,E/S,10,1800-059,B1(역무실)-지상,2번출구 상행
26,1,동묘앞,E/S,11,1800-063,지상-B1(대),3번출구 하행
27,1,동묘앞,E/S,12,1800-064,B1(대)-지상,3번출구 상행
28,1,제기동,E/S,1,1809-138,지상-B1(대),2번출구 하행
29,1,제기동,E/S,2,1809-139,B1(대)-지상,2번출구 상행
30,1,청량리(1),E/S,1,1809-136,지상-B1(대),6번출구 하행
31,1,청량리(1),E/S,2,1809-137,B1(대)-지상,6번출구 상행
32,1,청량리(1),E/S,3,1806-436,지상-B1(대),2번출구 하행
33,1,청량리(1),E/S,4,1806-435,B1(대)-지상,2번출구 상행
34,2,시청(2),E/S,3,1808-578,"1,2호선 연결통로(신)",서울역방향 1-4 근접 하행(2)
35,2,시청(2),E/S,4,1808-577,"1,2호선 연결통로(신)",서울역방향 1-4 근접 상행(2)
36,2,시청(2),E/S,5,1808-576,"1,2호선 연결통로(신)",내부화장실 근접 하행(2)
37,2,시청(2),E/S,6,1808-575,"1,2호선 연결통로(신)",내부화장실 근접 상행(2)
38,2,을지로입구,E/S,1,1801-058,지상-B1(대),8번출구 하행
39,2,을지로입구,E/S,2,1801-059,B1(대)-지상,8번출구 상행
40,2,을지로입구,E/S,3,1800-930,지상-연결통로,1번출구 하행
41,2,을지로입구,E/S,4,1800-931,연결통로-지상,1번출구 상행
42,2,을지로입구,E/S,5,1800-932,연결통로-B1(대),1번출구 하행
43,2,을지로입구,E/S,6,1800-933,B1(대)-연결통로,1번출구 상행
44,2,을지로4가,E/S,1,1808-583,지상-B1(대),5번출구 하행
45,2,을지로4가,E/S,2,1808-584,B1(대)-지상,5번출구 상행
46,2,동대문역사문화공원(2),E/S,1,1800-722,지상-B1(대),3번출구 하행
47,2,동대문역사문화공원(2),E/S,2,1800-723,B1(대)-지상,3번출구 상행
48,2,신당,E/S,1,1801-244,지상-B1(대),3번출구 하행
49,2,신당,E/S,2,1801-299,B1(대)-지상,3번출구 상행
50,2,상왕십리,E/S,1,1812-874,,1번출구
51,2,상왕십리,E/S,2,1812-873,,1번출구
52,2,상왕십리,E/S,3,1812-872,,1번출구
53,2,상왕십리,E/S,4,1812-871,,1번출구
54,2,상왕십리,E/S,5,1809-944,,1-1번출구
55,2,상왕십리,E/S,6,1809-943,,1-1번출구
56,2,상왕십리,E/S,7,1809-942,,1-1번출구
57,2,상왕십리,E/S,8,1809-941,,1-1번출구
58,2,왕십리,E/S,1,1800-400,지상-B1(대),3번출구 하행
59,2,왕십리,E/S,2,1801-006,B1(대)-지상,3번출구 상행
60,2,왕십리,E/S,3,1809-216,5호선-2호선 환승,외선 7-7 하행
61,2,왕십리,E/S,4,1809-217,2호선-5호선 환승,외선 7-1 상행
62,2,왕십리,E/S,5,1809-218,5호선-2호선 환승,내선 2-3 하행
63,2,왕십리,E/S,6,1809-219,2호선-5호선 환승,내선 2-3 상행
64,2,왕십리,E/S,7,1808-501,5호선-2호선 환승,내선 3-1 하행
65,2,왕십리,E/S,8,1808-502,2호선-5호선 환승,내선 3-1 상행
66,2,한양대,E/S,1,1800-556,지상-F2(대),1번출구 하행
67,2,한양대,E/S,2,1800-555,F2(대)-지상,2번출구 상행
68,2,뚝섬,E/S,1,1801-057,지상-F2(대),5번출구 하행
69,2,뚝섬,E/S,2,1808-121,F2(대)-지상,5번출구 상행
70,2,뚝섬,E/S,3,1800-472,지상-F2(대),2번출구 하행
71,2,뚝섬,E/S,4,1800-473,F2(대)-지상,2번출구 상행
72,2,뚝섬,E/S,5,1800-470,지상-F2(대),8번출구 하행
73,2,뚝섬,E/S,6,1800-471,F2(대)-지상,8번출구 상행
74,2,뚝섬,E/S,7,1812-506,지상-F2(대),3번출구 하행
75,2,뚝섬,E/S,8,1812-505,F2(대)-지상,3번출구 상행
76,2,성수,E/S,1,1809-486,지상-F2(대),1번출구 하행
77,2,성수,E/S,2,1809-487,F2(대)-지상,1번출구 상행
78,2,성수,E/S,3,1809-488,지상-F2(대),2번출구 하행
79,2,성수,E/S,4,1809-489,F2(대)-지상,2번출구 상행
80,2,성수,E/S,5,1809-490,지상-F2(대),3번출구 하행
81,2,성수,E/S,6,1809-491,F2(대)-지상,3번출구 상행
82,2,성수,E/S,7,1809-492,지상-F2(대),4번출구 하행
83,2,성수,E/S,8,1809-493,F2(대)-지상,4번출구 상행
84,2,용두,E/S,1,1809-045,B3(대)-B2(대),신설동방향 2-4 상행
85,2,용두,E/S,2,1809-046,B3(대)-B2(대),성수방향 3-1 상행
86,2,용두,E/S,3,1809-050,지상-B2(대),1번출구 하행
87,2,용두,E/S,4,1809-049,B2(대)-지상,1번출구 상행
88,2,용두,E/S,5,1809-052,지상-B2(대),2번출구 하행
89,2,용두,E/S,6,1809-051,B2(대)-지상,2번출구 상행
90,2,용두,E/S,7,1809-047,B2(대)-지상,3번출구 하행
91,2,용두,E/S,8,1809-048,지상-B2(대),3번출구 상행
92,2,용두,E/S,9,1809-053,B2(대)-지상,4번출구 하행
93,2,용두,E/S,10,1809-054,지상-B2(대),4번출구 상행
94,2,용두,E/S,11,1809-055,B2(대)-지상,5번출구 하행
95,2,용두,E/S,12,1809-056,지상-B2(대),5번출구 상행
96,2,건대입구,E/S,1,1801-062,지상-F2(대),6번출구 하행
97,2,건대입구,E/S,2,1801-063,F2(대)-지상,6번출구 상행
98,2,구의,E/S,1,1809-196,지상-F2(대),1번출구 하행
99,2,구의,E/S,2,1809-197,F2(대)-지상,1번출구 상행
100,2,구의,E/S,3,1803-426,지상-F2(대),4번출구 하행
101,2,구의,E/S,4,1803-427,F2(대)-지상,4번출구 상행
102,2,구의,E/S,5,1806-177,지상-F2(대),2번출구 하행
103,2,구의,E/S,6,1806-178,F2(대)-지상,2번출구 상행
104,2,강변,E/S,5,1811-788,지상-F2(대),
105,2,강변,E/S,6,1811-789,F2(대)-지상,
106,2,잠실나루,E/S,1,1806-940,F2(대)-지상,내부 대합실 하행
107,2,잠실나루,E/S,2,1806-939,지상-F2(대),내부 대합실 상행
108,2,잠실나루,E/S,3,1809-597,F3(승)-F2(대),2번출구 외선 상행 10-1
109,2,잠실나루,E/S,4,1809-598,F2(대)-F3(승),2번출구 내선 상행 1-4
110,2,잠실,E/S,1,1801-758,지상-B1(대),5번출구 하행
