연번,호선,역사명,안전문 수량,개폐방식,사업방식,준공일,설치업체,비고
1,1,서울,80,RF+센서 방식,민자유치,2007-11-01,현대엘리베이터,
2,1,시청,80,RF+센서 방식,민자유치,2007-12-03,현대엘리베이터,
3,1,종각,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
4,1,종로3가,80,RF+센서 방식,민자유치,2008-01-03,현대엘리베이터,
5,1,종로5가,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
6,1,동대문,80,RF+센서 방식,자체예산,2008-06-18,서윤산업,
7,1,동묘앞,80,RF+센서 방식,자체예산,2006-01-10,현대엘리베이터,
8,1,신설동,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
9,1,제기동,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
10,1,청량리,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
11,2,시청,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
12,2,을지로입구,80,RF+센서 방식,민자유치,2006-02-24,현대엘리베이터,
13,2,을지로3가,80,RF+센서 방식,민자유치,2006-04-13,현대엘리베이터,
14,2,을지로4가,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
15,2,동대문역사문화공원,80,RF+센서 방식,민자유치,2007-11-01,현대엘리베이터,
16,2,신당,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
17,2,상왕십리,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
18,2,왕십리,80,RF+센서 방식,자체예산,2009-12-01,삼중테크,
19,2,한양대,80,RF+센서 방식,자체예산,2009-09-25,삼중테크,
20,2,뚝섬,80,RF+센서 방식,자체예산,2009-11-30,삼중테크,
21,2,용두,32,RF+센서 방식,자체예산,2006-01-11,현대엘리베이터,성수지선 4량
22,2,신설동,32,RF+센서 방식,민자유치,2008-02-18,현대엘리베이터,성수지선 4량
23,2,신답,32,RF+센서 방식,자체예산,2009-06-24,현대엘리베이터,성수지선 4량
24,2,용답,32,RF+센서 방식,자체예산,2009-06-24,현대엘리베이터,성수지선 4량
25,2,성수,160,RF+센서 방식,자체예산,2019-04-01,㈜포스코ICT,재시공역(4트랙)
26,2,건대입구,80,RF+센서 방식,민자유치,2007-08-30,현대엘리베이터,
27,2,구의,80,RF+센서 방식,자체예산,2009-12-29,현대엘리베이터,
28,2,강변,80,RF+센서 방식,민자유치,2006-06-14,현대엘리베이터,
