호선,역사명,호기,설치위치,승강기번호,설치일자,비 고
1,서울역(1),1,4호선연결통로,1800-448,2000-05-06,
1,서울역(1),2,내부,1806-600,2014-04-28,
1,서울역(1),3,내부,1806-599,2014-07-04,
1,시청,1,5번출구,1808-119,2011-11-04,
1,시청,2,5번출구,1808-120,2011-11-04,
1,시청,3,1번출구,0809-239,2014-06-24,
1,종로3가(1),1,1번출구,1806-432,2013-11-25,
1,종로3가(1),2,1번출구,1806-431,2013-11-25,
1,종로3가(1),3,14번출구,1806-597,2014-07-16,
1,종로3가(1),4,14번출구,1806-598,2014-07-16,
1,동대문(1),1,1번출구,1809-225,2013-05-07,
1,동묘앞,1,내부,1800-055,2006-01-01,
1,동묘앞,2,내부,1800-056,2006-01-01,
1,동묘앞,3,내부,1800-057,2006-01-01,
1,동묘앞,4,내부,1800-060,2006-01-01,
1,동묘앞,5,내부,1800-061,2006-01-01,
1,동묘앞,6,내부,1800-062,2006-01-01,
1,동묘앞,7,1번출구,1800-054,2006-01-01,
1,동묘앞,8,1번출구,1800-053,2006-01-01,
1,동묘앞,9,2번출구,1800-058,2006-01-01,
1,동묘앞,10,2번출구,1800-059,2006-01-01,
1,동묘앞,11,3번출구,1800-063,2006-01-01,
1,동묘앞,12,3번출구,1800-064,2006-01-01,
1,제기동,1,2번출구,1809-138,2010-04-14,
1,제기동,2,2번출구,1809-139,2010-04-14,
1,청량리(1),1,6번출구,1809-136,2005-03-24,
1,청량리(1),2,6번출구,1809-137,2005-03-24,
1,청량리(1),3,2번출구,1800-436,2014-01-24,
1,청량리(1),4,2번출구,1800-435,2014-01-24,
2,시청(2),1,내부,1801-051,1984-04-27,휴지중
2,시청(2),2,내부,1801-052,1984-04-27,휴지중
2,시청(2),3,내부(1호선 - 2호선),1808-578,2014-06-24,
2,시청(2),4,내부(1호선 - 2호선),1808-577,2014-06-24,
2,시청(2),5,내부(2호선 - 1호선),1808-576,2014-06-24,
2,시청(2),6,내부(2호선 - 1호선),1808-575,2014-06-24,
2,을지로입구,1,8번출구,1801-058,2010-04-14,
2,을지로입구,2,8번출구,1801-059,2010-04-14,
2,을지로4가,1,5번출구,1808-583,2014-08-29,
2,을지로4가,2,5번출구,1808-584,2014-08-29,
2,을지로4가,3,9번출구,1808-582,2014-08-06,
2,을지로4가,4,9번출구,1808-581,2014-08-06,
2,동대문역사문화공원(2),1,3번출구,1800-722,2005-10-05,
2,동대문역사문화공원(2),2,3번출구,1800-723,2005-10-05,
2,신당,1,3번출구,1801-244,2012-06-16,
2,신당,2,3번출구,1801-299,2012-06-16,
2,왕십리,1,3번출구,1800-400,2004-04-13,
2,왕십리,2,3번출구,1801-006,2004-04-13,
2,왕십리,3,외선승강장,1809-216,2012-03-27,
2,왕십리,4,외선승강장,1809-217,2012-03-27,
2,왕십리,5,내선승강장,1809-218,2012-03-27,
2,왕십리,6,내선승강장,1809-219,2012-03-27,
2,왕십리,7,내선승강장,1808-501,2012-08-28,
2,왕십리,8,내선승강장,1808-502,2012-08-28,
2,한양대,1,1번출구,1800-556,2011-12-01,
2,한양대,2,1번출구,1800-555,2011-12-01,
2,뚝섬,1,5번출구,1801-057,2005-05-25,
2,뚝섬,2,5번출구,1808-121,2005-05-25,
2,뚝섬,3,2번출구,1800-472,2010-07-01,
2,뚝섬,4,2번출구,1800-473,2010-07-01,
2,뚝섬,5,8번출구,1800-470,2010-07-15,
2,뚝섬,6,8번출구,1800-471,2010-07-15,
2,성수,1,1번출구,1809-486,2003-11-10,
2,성수,2,1번출구,1809-487,2003-11-10,
2,성수,3,2번출구,1809-488,2003-11-10,
2,성수,4,2번출구,1809-489,2003-11-10,
2,성수,5,3번출구,1809-490,2003-11-10,
2,성수,6,3번출구,1809-491,2003-11-10,
2,성수,7,4번출구,1809-492,2003-11-10,
2,성수,8,4번출구,1809-493,2003-11-10,
2,용두,1,"내부
(외선)",1809-045,2005-10-01,
2,용두,2,"내부
(내선)",1809-046,2005-10-01,
2,용두,3,1번출구,1809-050,2005-10-01,
2,용두,4,1번출구,1809-049,2005-10-01,
2,용두,5,2번출구,1809-052,2005-10-01,
2,용두,6,2번출구,1809-051,2005-10-01,
2,용두,7,3번출구,1809-047,2005-10-01,
2,용두,8,3번출구,1809-058,2005-10-01,
2,용두,9,4번출구,1809-053,2005-10-01,
2,용두,10,4번출구,1809-054,2005-10-01,
2,용두,11,5번출구,1809-055,2005-10-01,
2,용두,12,5번출구,1809-056,2005-10-01,
2,건대입구,1,6번출구,1801-062,2003-11-10,
2,건대입구,2,6번출구,1801-063,2003-11-10,
2,구의,1,1번출구,1809-196,2005-06-13,
2,구의,2,1번출구,1809-197,2005-06-13,
2,구의,3,4번출구,1803-426,2010-05-11,
2,구의,4,4번출구,1803-427,2010-05-11,
2,구의,5,2번출구,1806-177,2012-05-31,
2,구의,6,2번출구,1806-178,2012-05-31,
2,잠실나루,1,내부,1806-940,2013-08-16,
2,잠실나루,2,내부,1806-939,2013-08-16,
2,잠실나루,3,2번출구,1809-597,2015-10-30,
2,잠실나루,4,2번출구,1809-598,2015-10-30,
2,잠실,1,5번출구,1802-084,2004-08-31,
2,잠실,2,5번출구,1801-757,2004-08-31,
2,잠실,3,1번출구,1808-875,2014-06-13,
2,잠실,4,1번출구,1808-874,2014-06-13,
2,잠실,5,2번출구,1808-812,2014-06-13,
