호선,역사명,기기명,호기,형식,규격,운행구간,"설치위치
(승차위치기준)","정지
층수",설치일자
1,서울역(1),E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),섬식(상) 5-1,2,2014-12-02
1,서울역(1),E/V,외부#1,로프식(MRL),13인승,B1(대)~지상,2번 출구측,2,2013-08-02
1,서울역(1),E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2000-05-01
1,서울역(1),E/V,외부#3,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2014-11-01
1,시청(1),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),상행 3-2,2,2004-03-13
1,시청(1),E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 8-3,2,2004-03-13
1,시청(1),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1-2번 출구사이,2,2005-04-01
1,종각,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),상행 6-4,2,2005-01-25
1,종각,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 4-4,2,2004-04-17
1,종각,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2004-11-05
1,종각,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2016-03-18
1,종로3가(1),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),상행 4-4,2,2003-12-23
1,종로3가(1),E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 6-4,2,2003-12-23
1,종로3가(1),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,12-13번 출구측,2,2014-07-29
1,종로5가,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),상행 8-3,2,2004-05-20
1,종로5가,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 3-2,2,2004-05-20
1,종로5가,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,8-9번 출구측,2,2005-02-28
1,동대문(1),E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),상행 10-4,2,2003-12-24
1,동대문(1),E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),하행 2-1,2,2003-12-24
1,동대문(1),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,6번 출구측,2,2004-08-14
1,동묘앞,E/V,내부#1,로프식(일반),15인승,B1(승)~4F(건),본관건물(상)6-2,6,2005-12-31
1,동묘앞,E/V,내부#2,로프식(MRL),15인승,B2(연)~BM2~B1(승),상행 10-3,3,2005-12-31
1,동묘앞,E/V,내부#3,로프식(MRL),15인승,B2(환)~B1(승),상행 4-8,2,2005-12-31
1,동묘앞,E/V,내부#4,로프식(MRL),15인승,B2(연)~B1(승),하행 7-3,2,2005-12-31
1,동묘앞,E/V,내부#5,로프식(MRL),15인승,B2(환)~B1(승),하행 1-2,2,2005-12-31
1,동묘앞,E/V,외부#1,로프식(MRL),15인승,B1(승)~BM1~지상,1-10번 출구 사이,3,2005-12-31
1,동묘앞,E/V,외부#2,로프식(MRL),15인승,B1(승)~지상,3번 출구측,2,2005-12-31
1,신설동(1),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),상행 3-4,2,2012-11-30
1,신설동(1),E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),하행 8-1,2,2012-11-30
1,신설동(1),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-05-27
1,신설동(1),E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,"2,3번 출구사이",2,2012-11-30
1,신설동(1),E/V,외부#3,로프식(MRL),15인승,B1(대)~지상,"4,5번 출구사이",2,2012-11-30
1,제기동,E/V,내부#1,로프식(MRL),11인승,B2(승)~B1(대),상행 9-4,2,2004-04-17
1,제기동,E/V,내부#2,로프식(MRL),11인승,B2(승)~B1(대),하행 2-1,2,2004-11-12
1,제기동,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-11-15
1,청량리,V/L,내부#1,유압식(V/L),4인승,B2(대)~B1(승),섬식(상)8-2,2,2005-03-29
1,청량리,E/V,외부#1,로프식(MRL),15인승,B2(대)~지상,6번 출구측,2,2005-03-06
2,시청(2),E/V,내부#1,로프식(MRL),13인승,B3(승)~B2대)~B1(대),섬식(외) 6-2,3,2002-12-27
2,시청(2),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,9번 출구측,2,2004-02-27
2,을지로입구,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 5-3,2,2005-03-30
2,을지로입구,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 6-2,2,2005-03-30
2,을지로입구,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,1번 출구측,2,2004-12-16
2,을지로입구,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,5번 출구측,2,2013-12-05
2,을지로3가(2),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-3,2,2004-12-03
2,을지로3가(2),E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-2,2,2004-12-03
2,을지로4가,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 3-2,2,2005-12-15
2,을지로4가,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 8-3,2,2003-12-31
2,을지로4가,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,8번출구,2,2003-12-31
2,동대문역사문화공원(2),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-3,2,2003-07-16
2,동대문역사문화공원(2),E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-2,2,2004-04-26
2,동대문역사문화공원(2),E/V,외부#1,로프식(MRL),17인승,B1(대)~지상,1번 출구측,2,2012-11-02
2,신당,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2010-04-09
2,신당,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 3-4,2,2004-05-12
2,신당,E/V,내부#2,로프식(MRL),13인승,B2(승)~B1(대),내선 7-4,2,2004-05-12
2,상왕십리,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 8-1,2,2004-08-03
2,상왕십리,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 3-4,2,2004-08-03
2,상왕십리,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,2-3출구 사이,2,2005-03-25
2,왕십리,E/V,내부#1,로프식(MRL),15인승,B3(승)~B2(대),외선 3-2,2,2010-03-09
2,왕십리,E/V,내부#2,로프식(MRL),15인승,B3(승)~B2(대),내선 3-4,2,2012-09-04
2,한양대,E/V,내부#1,로프식(MRL),9인승,F1(승)~F2(대),섬식(외) 3-3,2,2004-12-24
2,한양대,V/L,내부#2,유압식(V/L),4인승,F1(승)~F2(대),섬식(외) 8-2,2,2004-12-24
2,한양대,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),4번 출구(육교),2,2005-07-15
2,뚝섬,E/V,내부#1,로프식(MRL),15인승,F2(대)~F3(승),외선 7-1,2,2005-04-01
2,뚝섬,E/V,내부#2,로프식(MRL),15인승,F2(대)~F3(승),내선 7-1,2,2005-04-01
2,뚝섬,E/V,외부#1,로프식(MRL),15인승,지상~F2(대),3번 출구측,2,2005-04-26
2,성수,E/V,내부#1,로프식(MRL),9인승,F2(대)~F3(승),외선 7-1,2,2015-07-09
2,성수,E/V,내부#2,로프식(MRL),9인승,F2(대)~F3(승),내선 4-4,2,2015-07-09
2,성수,E/V,외부#1,로프식(MRL),15인승,지상~F1(대),1번 출구측,2,2002-09-10
2,성수,E/V,외부#2,로프식(MRL),15인승,지상~F1(대),4번 출구측,2,2002-09-10
2,용답,V/L,내부#1,유압식(V/L),4인승,F1(대)~F2(승),섬식(상) 1-4,2,2005-07-15
2,신답,E/V,내부#1,로프식(MRL),11인승,F1(승)~F2(대),외선 2-4,2,2005-04-14
2,신답,E/V,내부#2,로프식(MRL),15인승,F1(승)~F2(대),내선 3-2,2,2013-08-26
2,용두,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 1-1,2,2005-12-30
2,용두,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-3,2,2005-12-30
2,용두,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,3번 출구측,2,2005-12-30
2,용두,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,4번 출구측,2,2005-12-30
2,신설동(2),E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),섬식(외) 4-3,2,2004-05-27
2,신설동(2),E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,9번 출구측,3,2012-07-24
2,건대입구,E/V,내부#1,로프식(MRL),15인승,2(대)~3(승),섬식(외)5-4,2,2014-11-21
2,건대입구,E/V,"외부#1
(내부겸용)",로프식(MRL),20인승,지상~F2(대)~F3(승),7-3 ~6번 출구측,3,2012-01-19
2,구의,E/V,내부#1,로프식(MRL),13인승,F2(대)~F3(승),섬식(외)4-3,2,2005-09-16
2,구의,E/V,외부#1,로프식(MRL),15인승,지상~F2(대)~F3(승),7-2 ~ 2번 출구측,3,2005-09-16
2,강변,E/V,내부#1,로프식(MRL),15인승,F1(대)~F2(승),외선 4-2,2,2005-04-08
2,강변,E/V,내부#2,로프식(MRL),15인승,F1(대)~F2(승),내선 7-3,2,2005-04-08
2,잠실나루,E/V,내부#1,로프식(MRL),11인승,F1(대)~F2(승),외선 3-4,2,2004-05-19
2,잠실나루,E/V,내부#2,로프식(MRL),11인승,F1(대)~F2(승),내선 8-1,2,2004-05-19
2,잠실,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 5-2,2,2004-08-31
2,잠실,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 6-3,2,2004-04-19
2,잠실,E/V,외부#1,로프식(MRL),15인승,B1(상가)~지상,6번 출구측,2,2004-04-19
2,잠실,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,"1,2번출구측",3,2014-06-13
2,신천,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 7-3,2,2004-12-29
2,신천,E/V,내부#2,로프식(MRL),15인승,B2(승)~B1(대),내선 4-1,2,2004-05-24
2,신천,E/V,외부#1,로프식(MRL),15인승,B1(대)~지상,7번 출구측,2,2004-05-24
2,신천,E/V,외부#2,로프식(MRL),15인승,B1(대)~지상,2번 출구측,2,2011-02-08
2,종합운동장,E/V,내부#1,로프식(MRL),15인승,B2(승)~B1(대),외선 2-4,2,2004-06-17
