호선,개폐방식,역사명,사업방식,설치일,공사업체
1호선,센서 방식,서 울,민자,’07.11.01,현대E/L
1호선,센서 방식,시 청,민자,’0712.03,현대E/L
1호선,센서 방식,종 각,자체,’09.12.29,현대E/L
1호선,센서 방식,종로3가,민자,’08.01.03,현대E/L
1호선,센서 방식,종로5가,자체,’09.12.29,현대E/L
1호선,센서 방식,동대문,자체,’08.06.18,서윤산업
1호선,센서 방식,동 묘,자체,’06.01.10,현대E/L
1호선,센서 방식,신설동,자체,’09.12.29,현대E/L
1호선,센서 방식,제기동,자체,’09.12.29,현대E/L
1호선,센서 방식,청량리,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,시 청,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,을지로입구,민자,’06.02.24,현대E/L
2호선,RF+센서 방식,을지로4가,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,동대문역사문화공원,민자,’07.11.01,현대E/L
2호선,RF+센서 방식,을지로3가,민자,’06.04.13,현대E/L
2호선,RF+센서 방식,신 당,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,상왕십리,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,왕십리,자체,’09.12.01,삼중테크
2호선,RF+센서 방식,한양대,자체,’09.09.25,삼중테크
2호선,RF+센서 방식,뚝 섬,자체,’09.11.30,삼중테크
2호선,RF+센서 방식,용 두,자체,’06.01.11,현대E/L
2호선,RF+센서 방식,신설동,민자,’08.02.18,현대E/L
2호선,RF+센서 방식,신 답,자체,’09.06.24,현대E/L
2호선,RF+센서 방식,용 답,자체,’09.06.24,현대E/L
2호선,RF+센서 방식,성 수,자체,’09.11.30,삼중테크
2호선,RF+센서 방식,건대입구,민자,’07.08.30,현대E/L
2호선,RF+센서 방식,구 의,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,강 변,민자,’06.06.14,현대E/L
2호선,RF+센서 방식,잠실나루,자체,’09.12.22,삼중테크
2호선,RF+센서 방식,잠 실,민자,’07.12.03,현대E/L
2호선,RF+센서 방식,신 천,자체,’09.12.30,삼중테크
2호선,RF+센서 방식,종합운동장,자체,’07.11.29,현대E/L
2호선,RF+센서 방식,삼 성,민자,’06.05.11,현대E/L
2호선,RF+센서 방식,선 릉,민자,’06.01.06,피에쓰에쓰텍
2호선,RF+센서 방식,역 삼,민자,’07.07.31,현대E/L
2호선,RF+센서 방식,강 남,민자,’06.02.21,피에쓰에쓰텍
2호선,RF+센서 방식,교 대,민자,’06.04.13,피에쓰에쓰텍
2호선,RF+센서 방식,서 초,자체,’09.12.30,현대E/L
2호선,RF+센서 방식,방 배,자체,’09.12.01,삼중테크
2호선,RF+센서 방식,낙성대,자체,’09.12.30,현대E/L
2호선,RF+센서 방식,사 당,민자,’05.11.04,피에쓰에쓰텍
2호선,RF+센서 방식,서울대입구,자체,’06.12.30,삼중테크
2호선,RF+센서 방식,봉 천,자체,’09.12.30,현대E/L
2호선,RF+센서 방식,신 림,자체,’08.06.30,서윤산업
2호선,RF+센서 방식,신대방,자체,’09.05.13,피에쓰에쓰텍
2호선,RF+센서 방식,구로디지털,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,대 림,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,신도림(본선),민자,’06.06.14,피에쓰에쓰텍
2호선,RF+센서 방식,신도림(지선),자체,‘11.12.31,피에쓰에쓰텍
2호선,RF+센서 방식,양천구청,자체,’09.11.30,삼중테크
2호선,RF+센서 방식,도림천,자체,’09.11.30,삼중테크
2호선,RF+센서 방식,신정네거리,자체,’09.12.30,삼중테크
2호선,RF+센서 방식,문 래,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,영등포구청,민자,’06.05.11,현대E/L
2호선,RF+센서 방식,당 산,자체,’09.05.13,피에쓰에쓰텍
2호선,RF+센서 방식,합 정,민자,’06.05.24,피에쓰에쓰텍
2호선,RF+센서 방식,홍대입구,민자,’07.07.31,현대E/L
2호선,RF+센서 방식,신 촌,자체,’09.12.29,현대E/L
2호선,RF+센서 방식,이 대,민자,’06.06.14,현대E/L
2호선,RF+센서 방식,아 현,자체,’09.11.30,삼중테크
2호선,RF+센서 방식,충정로,자체,’09.12.22,삼중테크
2호선,RF+센서 방식,까치산,자체,’09.12.11,현대E/L
3호선,센서 방식,연신내,자체,’09.12.29,삼중테크
3호선,센서 방식,지 축,자체,’09.12.29,현대E/L
3호선,센서 방식,구파발,자체,’09.12.29,현대E/L
3호선,센서 방식,불 광,자체,’09.12.29,현대E/L
3호선,센서 방식,녹 번,자체,’09.12.29,현대E/L
3호선,센서 방식,홍 제,자체,’09.12.29,삼중테크
3호선,센서 방식,무악재,자체,’09.12.29,현대E/L
3호선,센서 방식,독립문,자체,’09.12.30,삼중테크
3호선,센서 방식,경복궁,자체,’09.12.30,삼중테크
3호선,센서 방식,안 국,자체,’09.12.29,삼중테크
3호선,센서 방식,종로3가,자체,’08.06.18,서윤산업
3호선,센서 방식,충무로,자체,’09.12.29,현대E/L
3호선,센서 방식,동대입구,자체,’09.12.29,현대E/L
3호선,센서 방식,을지로3가,자체,’06.04.10,현대E/L
3호선,센서 방식,금 호,자체,’09.12.30,삼중테크
3호선,센서 방식,약 수,자체,’09.12.29,현대E/L
3호선,센서 방식,옥 수,자체,’09.12.22,삼중테크
3호선,센서 방식,압구정,자체,’09.11.30,삼중테크
3호선,센서 방식,신 사,자체,’09.12.30,삼중테크
3호선,센서 방식,잠 원,자체,’09.11.30,삼중테크
3호선,센서 방식,교 대,민자,’08.02.01,현대E/L
3호선,센서 방식,남부터미널,자체,’09.12.29,현대E/L
3호선,센서 방식,고속터미널,자체,’09.12.29,삼중테크
3호선,센서 방식,양 재,민자,’08.02.01,현대E/L
3호선,센서 방식,매 봉,자체,’09.12.29,삼중테크
3호선,센서 방식,도 곡,자체,’09.12.29,현대E/L
3호선,센서 방식,대 치,자체,’09.06.24,현대E/L
3호선,센서 방식,학여울,자체,’09.11.30,삼중테크
3호선,센서 방식,대 청,자체,’09.12.30,삼중테크
3호선,센서 방식,일 원,자체,’09.12.29,현대E/L
3호선,센서 방식,수 서,자체,’09.12.29,삼중테크
3호선,센서 방식,가락시장,서울시(신설역),’09.12.30,현대E/L
3호선,센서 방식,경찰병원,서울시(신설역),’09.12.30,현대E/L
3호선,센서 방식,오금,서울시(신설역),’09.12.30,현대E/L
4호선,센서 방식,당고개,자체,’09.12.29,현대E/L
4호선,센서 방식,상 계,자체,’09.09.25,삼중테크
4호선,센서 방식,노 원,자체,’09.12.29,현대E/L
4호선,센서 방식,창 동,자체,’09.12.17,삼중테크
4호선,센서 방식,쌍 문,자체,’09.12.29,현대E/L
4호선,센서 방식,수 유,자체,’08.12.26,피에쓰에쓰텍
4호선,센서 방식,미 아,자체,’09.03.31,피에쓰에쓰텍
4호선,센서 방식,미아사거리,자체,’08.12.26,피에쓰에쓰텍
4호선,센서 방식,길 음,자체,’09.12.29,현대E/L
4호선,센서 방식,성신여대,자체,’09.12.30,삼중테크
4호선,센서 방식,한성대입구,자체,’09.12.30,삼중테크
4호선,센서 방식,혜 화,자체,’09.03.31,피에쓰에쓰텍
4호선,센서 방식,동대문,자체,’06.04.10,현대E/L
4호선,센서 방식,동대문역사문화공원,자체,’08.06.18,서윤산업
4호선,센서 방식,충무로,자체,’09.12.29,현대E/L
4호선,센서 방식,명 동,민자,’07.08.30,현대E/L
4호선,센서 방식,회 현,자체,’07.11.29,현대E/L
4호선,센서 방식,서울역,자체,’09.12.29,현대E/L
4호선,센서 방식,숙대입구,자체,’09.12.30,삼중테크
4호선,센서 방식,삼각지,자체,’09.12.29,현대E/L
4호선,센서 방식,신용산,자체,’09.03.31,피에쓰에쓰텍
4호선,센서 방식,이 촌,자체,’09.12.30,삼중테크
4호선,센서 방식,동 작,자체,’09.06.24,현대E/L
4호선,센서 방식,사 당,자체,’09.12.29,현대E/L
4호선,센서 방식,총신대입구,자체,’09.12.17,삼중테크
4호선,센서 방식,남태령,자체,’09.12.30,삼중테크
