휠체어경사로 설치현황,,,
(1~4호선),,,
호선,설치역수,설치현황,
총 120역,107역,233대,
1호선(10역),10역,28대,
2호선(50역),49역,120대,
3호선(34역),29역,44대,
4호선(26역),19역,41대,
,,,
호선별 설치현황,,,
[1호선],,,
1호선,,,
구 분,역명,개 소,설치위치
1호선,서울역,4,- 4번 외부출구 앞
,,,- 2번 외부출구 측 E/V 앞
,,,- 4번 외부출구 측 E/V 앞
,,,대합실 지하1층 화장실 앞
,시청,2,- 6번 외부출구 앞
,,,대합실 지하1층 화장실 앞
,종각,2,- 3번 외부출구 측 E/V 앞
,,,대합실 지하1층 화장실 앞
,종로3가,4,- 15번 외부출구
,,,- 대합실 지하1층 3.5호선 연결통로측
,,,- 승강장 지하2층 3.5호선 연결통로측
,,,대합실 F내부계단 휴식공간 옆
,종로5가,2,대합실 지하1층 화장실 앞
,,,- 8번 외부출구 측 E/V 앞
,동대문,4,- 6번 외부출구 측 E/V 앞
,,,- 대합실 지하1층 6번출입구측 E/V 앞
,,,- 대합실 지하1층 4호선 연결통로 앞
,,,대합실 지하1층 화장실 앞
,동묘앞,2,- 1번 외부출구 측 E/V 앞
,,,- 3번 외부출구 측 E/V 앞
,신설동,5,"- 1,2,3,4 외부출구 E/V 앞"
,,,대합실 지하1층 화장실 앞
,제기동,1,- 1번 외부출구 측 E/V 앞
,청량리,2,- 6번 외부출구 측 E/V 앞
,,,- 대합실 지하2층 #33기둥 내부 E/V 앞
,소 계,28,
,,,
[2호선],,,
2호선,,,
구 분,역명,개 소,설치위치
2호선,시청,3,- 9번 외부출구 측 E/V 앞
,,,- 대합실 지하2층 1호선 환승통로 측(2개)
,,,대합실 지하1층 종점 측 화장실 앞
,을지로입구,3,- 1번 외부출구 측 E/V 앞
,,,- 2번 외부출구 앞
,,,- 5번 외부출구 앞
,을지로3가,4,- 2번 외부출구 앞(추가)
,,,- 11번 외부출구 앞(추가)
,,,승강장 지하2층 내선 환승통로 측
,,,승강장 지하2층 외선 환승통로 측
,을지로4가,3,- 1번 외부출구 앞
,,,- 10번 외부출구 앞
,,,- 7~8번 외부출구 중간 측 E/V 앞
,동대문,3,- 1번 외부출구 측 E/V 앞
,역사문화공원,,- 대합실 #1출구 앞(추가)
,,,대합실과 동대문별관 연결통로(추가)
,신당,5,- 1번 외부출구 앞
,,,- 4번 외부출구 앞
,,,- 2번 외부출구 측 E/V 앞
,,,- 내선승강장 종점측 6호선 연결통로 앞(추가)
